进港流量,temp_c,wind_dir_sin,wind_dir_cos,wind_speed_mps,visibility_m,hour_sin,hour_cos,dayofweek_sin,dayofweek_cos,pressure_hpa,dewpoint_c,wind_gust_mps,is_peak_hours
0,23.5,-0.34202014332566866,-0.9396926207859084,2.0,9999.0,0.0,1.0,1.2246467991473532e-16,-1.0,1014.0,23.0,0.0,0
0,24.5,0.984807753012208,-0.1736481776669303,1.5,9999.0,0.2697967711570243,0.9629172873477994,1.2246467991473532e-16,-1.0,1014.0,23.0,0.0,0
1,25.5,0.984807753012208,-0.1736481776669303,1.0,9999.0,0.5195839500354336,0.8544194045464886,1.2246467991473532e-16,-1.0,1014.0,23.5,0.0,0
1,26.0,0.984807753012208,-0.1736481776669303,1.0,9999.0,0.730835964278124,0.6825531432186541,1.2246467991473532e-16,-1.0,1014.0,23.0,0.0,0
1,28.0,0.984807753012208,-0.1736481776669303,1.0,9999.0,0.8878852184023752,0.4600650377311522,1.2246467991473532e-16,-1.0,1013.0,23.5,0.0,0
5,29.0,0.9862856015372314,-0.1650476058606777,1.5,9999.0,0.9976687691905392,-0.06824241336467088,1.2246467991473532e-16,-1.0,1011.5,23.0,0.0,0
1,31.0,0.8616291604415257,0.5075383629607042,2.0,9999.0,0.9422609221188205,-0.33487961217098616,1.2246467991473532e-16,-1.0,1010.5,24.0,0.0,1
10,30.0,0.766044443118978,-0.6427876096865394,2.0,9999.0,0.8169698930104421,-0.5766803221148671,1.2246467991473532e-16,-1.0,1010.0,23.0,0.0,1
18,30.5,0.258819045102521,-0.9659258262890682,2.5,9999.0,0.631087944326053,-0.7757112907044197,1.2246467991473532e-16,-1.0,1010.0,23.0,0.0,1
14,29.0,0.5735764363510464,-0.8191520442889916,2.0,9999.0,0.3984010898462414,-0.917211301505453,1.2246467991473532e-16,-1.0,1010.5,23.0,0.0,1
22,28.5,0.4226182617406995,-0.9063077870366499,2.0,9999.0,0.1361666490962471,-0.9906859460363306,1.2246467991473532e-16,-1.0,1010.5,23.0,0.0,1
19,27.5,0.8616291604415257,0.5075383629607042,1.0,9999.0,-0.1361666490962464,-0.9906859460363308,1.2246467991473532e-16,-1.0,1011.0,23.0,0.0,1
21,27.0,0.8616291604415257,0.5075383629607042,1.0,9999.0,-0.39840108984624156,-0.9172113015054529,1.2246467991473532e-16,-1.0,1012.0,23.5,0.0,1
21,26.5,0.4226182617406995,-0.9063077870366499,1.0,9999.0,-0.6310879443260528,-0.7757112907044198,1.2246467991473532e-16,-1.0,1013.0,24.0,0.0,1
27,26.0,0.760405965600031,0.6494480483301835,1.0,9999.0,-0.816969893010442,-0.5766803221148672,1.2246467991473532e-16,-1.0,1013.0,24.0,0.0,1
21,26.0,0.9961946980917455,-0.08715574274765824,1.0,9999.0,-0.9422609221188204,-0.3348796121709864,1.2246467991473532e-16,-1.0,1012.5,24.0,0.0,1
23,26.0,0.0,1.0,0.0,9999.0,-0.9976687691905393,-0.06824241336467046,1.2246467991473532e-16,-1.0,1012.0,23.5,0.0,1
23,25.0,0.8660254037844386,0.5000000000000001,1.5,9999.0,-0.979084087682323,0.2034560130526333,1.2246467991473532e-16,-1.0,1011.5,24.0,0.0,1
28,25.0,1.0,6.123233995736766e-17,2.0,8499.5,-0.8878852184023756,0.4600650377311516,1.2246467991473532e-16,-1.0,1011.0,24.0,0.0,1
